Hour,Minute:Second,DeviceId,EventId,Parameter
07,20:13,613,44,4
07,20:15,613,0,3
07,20:15,613,0,7
07,20:15,613,10,4
07,20:15,613,10,8
07,20:15,613,11,4
07,20:15,613,11,8
07,20:15,613,1,3
07,20:15,613,1,7
07,20:15,613,9,4
07,20:15,613,9,8
07,20:15,613,2,2
07,20:15,613,2,6
07,20:15,613,2,8
07,20:15,613,12,8
07,20:15,613,31,2
07,20:15,613,2,2
07,20:15,613,2,6
07,20:15,613,46,4
07,20:15,613,46,8
07,20:17,613,3,3
07,20:17,613,3,7
07,20:18,613,44,3
07,20:18,613,44,8
07,20:20,613,7,3
07,20:20,613,7,7
07,20:20,613,8,3
07,20:20,613,8,7
07,20:20,613,63,6
07,20:20,613,4,3
07,20:20,613,4,7
07,20:22,613,48,3
07,20:22,613,48,7
07,20:23,613,10,3
07,20:23,613,10,7
07,20:23,613,9,3
07,20:23,613,9,7
07,20:23,613,12,4
07,20:23,613,64,6
07,20:25,613,0,2
07,20:25,613,0,6
07,20:25,613,11,3
07,20:25,613,11,7
07,20:25,613,1,2
07,20:25,613,1,6
07,20:25,613,12,3
07,20:25,613,12,7
07,20:25,613,31,1
07,20:25,613,31,2
07,20:25,613,61,5
07,20:25,613,65,6
07,20:25,613,21,2
07,20:25,613,21,6
07,20:25,613,46,3
07,20:25,613,46,7
07,20:38,613,2,1
07,20:38,613,2,5
07,20:38,613,22,2
07,20:38,613,22,6
07,20:38,613,47,1
07,20:38,613,47,5
07,20:38,613,49,1
07,20:38,613,49,5
07,20:38,613,43,4
07,20:38,613,43,8
07,20:57,613,43,3
07,20:58,613,2,5
07,20:58,613,44,1
07,20:58,613,44,6
07,21:03,613,43,6
07,21:03,613,23,2
07,21:03,613,23,6
07,21:03,613,3,2
07,21:03,613,3,6
07,21:04,613,2,1
07,21:04,613,2,5
07,21:04,613,43,1
07,21:05,613,7,2
07,21:05,613,7,6
07,21:05,613,8,2
07,21:05,613,8,6
07,21:05,613,6,2
07,21:05,613,6,6
07,21:05,613,2,1
07,21:05,613,2,3
07,21:05,613,2,4
07,21:05,613,2,5
07,21:05,613,2,8
07,21:05,613,47,3
07,21:05,613,47,4
07,21:05,613,47,7
07,21:05,613,47,8
07,21:05,613,49,3
07,21:05,613,49,4
07,21:05,613,49,7
07,21:05,613,49,8
07,21:06,613,2,1
07,21:06,613,2,3
07,21:06,613,2,4
07,21:06,613,2,5
07,21:06,613,2,7
07,21:06,613,2,8
07,21:06,613,43,7
07,21:09,613,2,1
07,21:09,613,2,3
07,21:09,613,2,4
07,21:09,613,2,7
07,21:09,613,2,8
07,21:09,613,44,5
07,21:09,613,0,1
07,21:09,613,0,5
07,21:09,613,10,2
07,21:09,613,10,6
07,21:09,613,11,2
07,21:09,613,11,6
07,21:09,613,1,1
07,21:09,613,1,5
07,21:09,613,9,2
07,21:09,613,9,6
07,21:09,613,2,2
07,21:09,613,2,3
07,21:09,613,2,4
07,21:09,613,2,6
07,21:09,613,2,7
07,21:09,613,2,8
07,21:09,613,12,6
07,21:09,613,31,3
07,21:10,613,43,5
07,21:11,613,3,1
07,21:11,613,3,5
07,21:13,613,44,1
07,21:14,613,44,5
07,21:16,613,7,1
07,21:16,613,7,5
07,21:16,613,8,1
07,21:16,613,8,5
07,21:16,613,63,5
07,21:18,613,48,1
07,21:18,613,48,5
07,21:19,613,10,1
07,21:19,613,10,5
07,21:19,613,9,1
07,21:19,613,9,5
07,21:19,613,12,2
07,21:19,613,64,5
07,21:21,613,0,4
07,21:21,613,0,8
07,21:21,613,11,1
07,21:21,613,11,5
07,21:21,613,1,4
07,21:21,613,1,8
07,21:21,613,2,2
07,21:21,613,2,3
07,21:21,613,2,6
07,21:21,613,2,7
07,21:21,613,12,1
07,21:21,613,12,5
07,21:21,613,31,1
07,21:21,613,61,6
07,21:21,613,65,5
07,21:21,613,46,1
07,21:21,613,46,5
07,21:25,613,48,4
07,21:25,613,48,8
07,21:31,613,3,4
07,21:31,613,3,8
07,21:38,613,43,1
07,21:45,613,43,5
07,21:45,613,2,2
07,21:45,613,2,6
07,21:45,613,2,7
07,21:45,613,44,3
07,21:47,613,44,8
07,21:48,613,43,8
07,21:51,613,44,8
07,21:54,613,43,8
07,21:57,613,44,8
07,21:59,613,7,4
07,21:59,613,7,8
07,21:59,613,8,4
07,21:59,613,8,8
07,21:59,613,6,4
07,21:59,613,6,8
07,22:01,613,43,8
07,22:03,613,0,3
07,22:03,613,0,7
07,22:03,613,10,4
07,22:03,613,10,8
07,22:03,613,11,4
07,22:03,613,11,8
07,22:03,613,1,3
07,22:03,613,1,7
07,22:03,613,9,4
07,22:03,613,9,8
07,22:03,613,2,2
07,22:03,613,2,4
07,22:03,613,2,6
07,22:03,613,2,8
07,22:03,613,12,8
07,22:03,613,31,2
07,22:03,613,2,2
07,22:03,613,2,6
07,22:03,613,46,4
07,22:03,613,46,8
07,22:04,613,44,8
07,22:05,613,3,3
07,22:05,613,3,7
07,22:07,613,44,4
07,22:07,613,44,7
07,22:07,613,43,4
07,22:07,613,43,8
07,22:09,613,7,3
07,22:09,613,7,7
07,22:09,613,8,3
07,22:09,613,8,7
07,22:09,613,63,6
07,22:09,613,4,3
07,22:10,613,48,3
07,22:10,613,48,7
07,22:12,613,10,3
07,22:12,613,10,7
07,22:12,613,9,3
07,22:12,613,9,7
07,22:12,613,12,4
07,22:12,613,64,6
07,22:14,613,0,2
07,22:14,613,0,6
07,22:14,613,11,3
07,22:14,613,11,7
07,22:14,613,1,2
07,22:14,613,1,6
07,22:14,613,12,3
07,22:14,613,12,7
07,22:14,613,31,1
07,22:14,613,31,2
07,22:14,613,61,5
07,22:14,613,65,6
07,22:14,613,21,2
07,22:14,613,21,6
07,22:14,613,46,3
07,22:14,613,46,7
07,22:26,613,2,1
07,22:26,613,2,5
07,22:26,613,22,2
07,22:26,613,22,6
07,22:26,613,47,1
07,22:26,613,47,5
07,22:26,613,49,1
07,22:26,613,49,5
07,22:30,613,43,3
07,22:46,613,2,5
07,22:46,613,44,1
07,22:46,613,44,6
07,22:51,613,23,2
07,22:51,613,23,6
07,22:51,613,3,2
07,22:51,613,3,6
07,22:52,613,43,7
07,22:53,613,7,2
07,22:53,613,7,6
07,22:53,613,8,2
07,22:53,613,8,6
07,22:53,613,6,2
07,22:53,613,6,6
07,22:53,613,2,3
07,22:53,613,2,4
07,22:53,613,2,5
07,22:53,613,2,7
07,22:53,613,2,8
07,22:53,613,43,6
07,22:53,613,47,3
07,22:53,613,47,4
07,22:53,613,47,7
07,22:53,613,47,8
07,22:53,613,49,3
07,22:53,613,49,4
07,22:53,613,49,7
07,22:53,613,49,8
07,22:57,613,0,1
07,22:57,613,0,5
07,22:57,613,10,2
07,22:57,613,10,6
07,22:57,613,11,2
07,22:57,613,11,6
07,22:57,613,1,1
07,22:57,613,1,5
07,22:57,613,9,2
07,22:57,613,9,6
07,22:57,613,2,2
07,22:57,613,2,3
07,22:57,613,2,4
07,22:57,613,2,6
07,22:57,613,2,7
07,22:57,613,2,8
07,22:57,613,12,6
07,22:57,613,31,3
07,22:58,613,44,5
07,22:59,613,3,1
07,22:59,613,3,5
07,23:00,613,7,1
07,23:00,613,7,5
07,23:00,613,8,1
07,23:00,613,8,5
07,23:00,613,63,5
07,23:00,613,4,1
07,23:00,613,4,5
07,23:03,613,10,1
07,23:03,613,10,5
07,23:03,613,9,1
07,23:03,613,9,5
07,23:03,613,12,2
07,23:03,613,64,5
07,23:05,613,0,4
07,23:05,613,0,8
07,23:05,613,11,1
07,23:05,613,11,5
07,23:05,613,1,4
07,23:05,613,1,8
07,23:05,613,2,2
07,23:05,613,2,3
07,23:05,613,2,6
07,23:05,613,2,7
07,23:05,613,12,1
07,23:05,613,12,5
07,23:05,613,31,1
07,23:05,613,61,6
07,23:05,613,65,5
07,23:05,613,46,1
07,23:05,613,46,5
07,23:05,613,48,1
07,23:05,613,48,5
07,23:13,613,48,4
07,23:13,613,48,8
07,23:15,613,3,4
07,23:15,613,3,8
07,23:19,613,2,2
07,23:19,613,2,3
07,23:19,613,2,6
07,23:19,613,44,7
07,23:20,613,2,2
07,23:20,613,2,6
07,23:20,613,44,3
07,23:26,613,43,5
07,23:26,613,43,1
07,23:44,613,44,4
07,23:44,613,44,8
07,23:45,613,7,4
07,23:45,613,7,8
07,23:45,613,8,4
07,23:45,613,8,8
07,23:45,613,62,6
07,23:45,613,6,4
07,23:45,613,6,8
07,23:45,613,63,6
07,23:45,613,43,4
07,23:45,613,43,8
07,23:47,613,44,4
07,23:47,613,44,8
07,23:49,613,10,4
07,23:49,613,10,8
07,23:49,613,11,4
07,23:49,613,11,8
07,23:49,613,9,4
07,23:49,613,9,8
07,23:49,613,12,8
07,23:49,613,64,6
07,23:51,613,0,2
07,23:51,613,0,6
07,23:51,613,1,2
07,23:51,613,1,6
07,23:51,613,12,4
07,23:51,613,31,2
07,23:51,613,61,5
07,23:51,613,65,6
07,23:51,613,21,2
07,23:51,613,21,6
07,23:51,613,46,3
07,23:51,613,46,4
07,23:51,613,46,7
07,23:51,613,46,8
07,23:51,613,48,3
07,23:51,613,48,7
07,24:02,613,43,4
07,24:02,613,43,8
07,24:09,613,43,3
07,24:14,613,2,1
07,24:14,613,2,5
07,24:14,613,22,2
07,24:14,613,22,6
07,24:14,613,47,1
07,24:14,613,47,5
07,24:14,613,49,1
07,24:14,613,49,5
07,24:34,613,43,7
07,24:39,613,23,2
07,24:39,613,23,6
07,24:39,613,3,2
07,24:39,613,3,6
07,24:41,613,7,2
07,24:41,613,7,6
07,24:41,613,8,2
07,24:41,613,8,6
07,24:41,613,6,2
07,24:41,613,6,6
07,24:41,613,2,1
07,24:41,613,2,3
07,24:41,613,2,4
07,24:41,613,2,5
07,24:41,613,2,7
07,24:41,613,2,8
07,24:41,613,47,3
07,24:41,613,47,4
07,24:41,613,47,7
07,24:41,613,47,8
07,24:41,613,49,3
07,24:41,613,49,4
07,24:41,613,49,7
07,24:41,613,49,8
07,24:45,613,0,1
07,24:45,613,0,5
07,24:45,613,10,2
07,24:45,613,10,6
07,24:45,613,11,2
07,24:45,613,11,6
07,24:45,613,1,1
07,24:45,613,1,5
07,24:45,613,9,2
07,24:45,613,9,6
07,24:45,613,2,2
07,24:45,613,2,3
07,24:45,613,2,4
07,24:45,613,2,6
07,24:45,613,2,7
07,24:45,613,2,8
07,24:45,613,12,6
07,24:45,613,31,3
07,24:46,613,44,1
07,24:47,613,3,1
07,24:47,613,3,5
07,24:54,613,48,1
07,24:54,613,48,5
07,24:56,613,44,5
07,24:56,613,7,1
07,24:56,613,7,5
07,24:56,613,8,1
07,24:56,613,8,5
07,24:56,613,63,5
07,24:56,613,6,1
07,24:56,613,6,5
07,24:57,613,43,1
07,24:59,613,10,1
07,24:59,613,10,5
07,24:59,613,9,1
07,24:59,613,9,5
07,24:59,613,12,2
07,24:59,613,64,5
07,25:01,613,0,4
07,25:01,613,0,8
07,25:01,613,11,1
07,25:01,613,11,5
07,25:01,613,1,4
07,25:01,613,1,8
07,25:01,613,2,1
07,25:01,613,2,2
07,25:01,613,2,3
07,25:01,613,2,6
07,25:01,613,2,7
07,25:01,613,12,1
07,25:01,613,12,5
07,25:01,613,31,1
07,25:01,613,61,6
07,25:01,613,65,5
07,25:01,613,2,2
07,25:01,613,2,3
07,25:01,613,2,6
07,25:01,613,2,7
07,25:01,613,46,1
07,25:01,613,46,5
07,25:01,613,48,4
07,25:01,613,48,8
07,25:11,613,3,4
07,25:11,613,3,8
07,25:22,613,2,2
07,25:22,613,2,6
07,25:22,613,2,7
07,25:22,613,44,3
07,25:22,613,44,8
07,25:25,613,2,2
07,25:25,613,2,6
07,25:25,613,44,4
07,25:25,613,44,7
07,25:28,613,7,4
07,25:28,613,7,8
07,25:28,613,8,4
07,25:28,613,8,8
07,25:28,613,62,6
07,25:28,613,63,6
07,25:29,613,2,2
07,25:29,613,2,3
07,25:29,613,2,6
07,25:29,613,43,3
07,25:29,613,43,8
07,25:30,613,43,4
07,25:30,613,44,4
07,25:32,613,10,4
07,25:32,613,10,8
07,25:32,613,11,4
07,25:32,613,11,8
07,25:32,613,9,4
07,25:32,613,9,8
07,25:32,613,12,8
07,25:32,613,64,6
07,25:33,613,2,2
07,25:33,613,2,6
07,25:33,613,44,3
07,25:33,613,44,8
07,25:34,613,0,2
07,25:34,613,0,6
07,25:34,613,1,2
07,25:34,613,1,6
07,25:34,613,12,4
07,25:34,613,31,2
07,25:34,613,61,5
07,25:34,613,65,6
07,25:34,613,21,2
07,25:34,613,21,6
07,25:34,613,46,3
07,25:34,613,46,4
07,25:34,613,46,7
07,25:34,613,46,8
07,25:34,613,48,3
07,25:34,613,48,7
07,25:39,613,43,3
07,25:39,613,43,8
07,25:57,613,44,2
07,25:57,613,43,2
07,25:58,613,44,2
07,25:59,613,43,2
07,26:02,613,2,1
07,26:02,613,22,2
07,26:02,613,22,6
07,26:02,613,47,1
07,26:02,613,47,5
07,26:02,613,49,1
07,26:02,613,49,5
07,26:03,613,2,1
07,26:03,613,2,5
07,26:03,613,43,5
07,26:09,613,43,4
07,26:16,613,2,5
07,26:16,613,44,1
07,26:16,613,44,6
07,26:18,613,43,6
07,26:19,613,44,6
07,26:22,613,43,6
07,26:24,613,44,6
07,26:26,613,44,2
07,26:26,613,44,5
07,26:27,613,23,2
07,26:27,613,23,6
07,26:27,613,3,2
07,26:27,613,3,6
07,26:28,613,45,2
07,26:28,613,45,6
07,26:28,613,43,2
07,26:28,613,43,6
07,26:31,613,44,2
07,26:31,613,44,6
07,26:31,613,7,2
07,26:31,613,7,6
07,26:31,613,8,2
07,26:31,613,8,6
07,26:31,613,2,5
07,26:31,613,43,2
07,26:31,613,43,5
07,26:31,613,6,2
07,26:31,613,6,6
07,26:31,613,2,3
07,26:31,613,2,4
07,26:31,613,2,5
07,26:31,613,2,8
07,26:31,613,43,6
07,26:31,613,47,3
07,26:31,613,47,4
07,26:31,613,47,7
07,26:31,613,47,8
07,26:31,613,49,3
07,26:31,613,49,4
07,26:31,613,49,7
07,26:31,613,49,8
07,26:32,613,2,3
07,26:32,613,2,4
07,26:32,613,2,8
07,26:32,613,44,5
07,26:35,613,0,1
07,26:35,613,0,5
07,26:35,613,10,2
07,26:35,613,10,6
07,26:35,613,11,2
07,26:35,613,11,6
07,26:35,613,1,1
07,26:35,613,1,5
07,26:35,613,9,2
07,26:35,613,9,6
07,26:35,613,2,2
07,26:35,613,2,3
07,26:35,613,2,4
07,26:35,613,2,6
07,26:35,613,2,8
07,26:35,613,12,6
07,26:35,613,31,3
07,26:37,613,7,1
07,26:37,613,7,5
07,26:37,613,8,1
07,26:37,613,8,5
07,26:37,613,63,5
07,26:37,613,4,1
07,26:37,613,4,5
07,26:37,613,3,1
07,26:37,613,3,5
07,26:40,613,10,1
07,26:40,613,10,5
07,26:40,613,9,1
07,26:40,613,9,5
07,26:40,613,12,2
07,26:40,613,64,5
07,26:42,613,0,4
07,26:42,613,0,8
07,26:42,613,11,1
07,26:42,613,11,5
07,26:42,613,1,4
07,26:42,613,1,8
07,26:42,613,2,2
07,26:42,613,2,3
07,26:42,613,2,6
07,26:42,613,12,1
07,26:42,613,12,5
07,26:42,613,31,1
07,26:42,613,61,6
07,26:42,613,65,5
07,26:42,613,48,1
07,26:42,613,48,5
07,26:42,613,46,1
07,26:42,613,46,5
07,26:49,613,45,4
07,26:49,613,45,8
07,26:49,613,48,4
07,26:49,613,48,8
07,26:52,613,3,4
07,26:52,613,3,8
07,27:00,613,2,2
07,27:00,613,2,6
07,27:00,613,44,3
07,27:10,613,44,4
07,27:10,613,44,8
07,27:11,613,43,4
07,27:11,613,43,8
07,27:14,613,44,4
